2024-09-26 11:46:20.642080,2024-09-26 08:48:54.252114,17,2024-09-26 11:46:17.000000,2024-09-26 11:48:51.000000,193302401600001,1,2390610,2391439,23A50DC5
2024-09-26 11:50:57.631751,2024-09-26 10:11:39.640020,18,2024-09-26 11:50:55.000000,2024-09-26 13:11:37.000000,193302401600001,1,2391439,2409479,23A50DC5
2024-09-26 13:19:15.412511,2024-09-26 11:25:33.457110,19,2024-09-26 13:19:12.000000,2024-09-26 14:25:31.000000,193302401600001,1,2409479,2438330,23A50DC5
2024-09-26 14:30:42.018266,2024-09-26 13:05:26.665821,20,2024-09-26 14:30:39.000000,2024-09-26 15:20:00.000000,193302401600001,1,2438330,2460050,23A50DC5
2024-09-26 16:09:31.020103,2024-09-26 13:15:40.614670,21,2024-09-26 16:09:25.000000,2024-09-26 16:15:35.000000,193302401600001,1,2460050,2462639,23A50DC5
2024-09-26 16:19:07.904838,2024-09-26 16:19:07.904856,22,2024-09-26 16:19:05.000000,null,193302401600001,1,2462639,null,23A50DC5
2024-09-27 10:09:28.530842,2024-09-27 07:11:00.608217,23,2024-09-27 10:09:23.000000,2024-09-27 10:10:55.000000,193302401600001,1,2474110,2474500,23A50DC5
2024-09-27 10:12:05.690536,2024-09-27 08:38:39.751604,24,2024-09-27 10:12:02.000000,2024-09-27 11:38:37.000000,193302401600001,1,2474500,2500750,23A50DC5
2024-09-27 15:59:28.973969,2024-09-27 13:03:33.644801,27,2024-09-27 15:59:25.000000,2024-09-27 16:00:00.000000,193302401600001,1,2548729,2549159,23A50DC5
2024-09-27 16:04:18.233907,2024-09-30 06:16:35.600440,28,2024-09-27 16:04:13.000000,2024-09-27 18:41:03.000000,193302401600001,1,2549159,2580229,23A50DC5
2024-09-30 10:15:50.629856,2024-09-30 08:07:30.535547,29,2024-09-30 10:15:45.000000,2024-09-30 11:07:25.000000,193302401600001,1,2580229,2603250,23A50DC5
2024-09-30 12:27:10.693408,2024-09-30 10:46:53.550051,30,2024-09-30 12:27:06.000000,2024-09-30 13:46:49.000000,193302401600001,1,2603250,2627389,23A50DC5
2024-09-30 13:50:50.551053,2024-09-30 12:08:05.782397,31,2024-09-30 13:50:46.000000,2024-09-30 15:04:00.000000,193302401600001,1,2627389,2658899,23A50DC5
2024-10-01 09:05:36.055361,2024-10-01 08:46:57.834691,32,2024-10-01 09:05:32.000000,2024-10-01 11:46:54.000000,193302401600001,1,2658899,2722199,23A50DC5
2024-09-23 15:34:56.469386,2024-09-23 12:54:50.765791,1,2024-09-23 15:34:54.000000,2024-09-23 15:49:28.000000,193302401600001,1,2115159,2121250,23A50DC5
2024-09-23 15:50:42.210392,2024-09-23 12:54:53.775507,2,2024-09-23 15:50:39.000000,2024-09-23 15:53:02.000000,193302401600001,1,2121250,2121919,23A50DC5
2024-09-23 15:55:39.547658,2024-09-23 12:58:40.124371,3,2024-09-23 15:55:36.000000,2024-09-23 15:58:38.000000,193302401600001,1,2121919,2123030,23A50DC5
2024-09-23 16:03:55.724237,2024-09-23 13:13:19.028984,4,2024-09-23 16:03:53.000000,2024-09-23 16:13:16.000000,193302401600001,1,2123030,2127010,23A50DC5
2024-09-23 16:15:42.759276,2024-09-23 13:46:50.992928,5,2024-09-23 16:15:40.000000,2024-09-23 16:46:48.000000,193302401600001,1,2127010,2140290,23A50DC5
2024-09-23 16:53:12.061948,2024-09-23 14:32:33.370066,6,2024-09-23 16:53:09.000000,2024-09-23 17:32:31.000000,193302401600001,1,2140290,2157320,23A50DC5
2024-09-24 08:59:00.472488,2024-09-24 07:01:54.531636,7,2024-09-24 08:58:58.000000,2024-09-24 10:01:52.000000,193302401600001,1,2157320,2178520,23A50DC5
2024-09-25 08:46:07.805052,2024-09-25 05:52:09.364378,8,2024-09-25 08:46:03.000000,2024-09-25 08:52:05.000000,193302401600001,1,2178520,2180760,23A50DC5
